PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,Golconda Fort,History and Culture,Museum,Local Experiences,Scenic,Adventure
POI2,Charminar,History and Culture,Museum,Local Experiences,Scenic,Food and Drinks
POI3,Qutub Shahi Tombs,History and Culture,Museum,,,
POI4,Mecca Masjid,History and Culture,,Local Experiences,Scenic,
POI5,Salar Jung Museum,Museum,History and Culture,Scenic,,
POI6,Sudha Cars Museum,Museum,History and Culture,Scenic,Local Experiences,Food and Drinks
POI7,Lord Shiva Temple Hyderabad,Religious,Local Experiences,Scenic,,
POI8,Chowmahalla Palace,History and Culture,Scenic,Local Experiences,Adventure,
POI9,Taramati Baradari,History and Culture,Museum,Local Experiences,,Food and Drinks
POI10,Hussain Sagar Lake,Scenic,History and Culture,,,
POI11,Ramoji Film City,Scenic,,Adventure,,Religious
POI12,Chowmahalla Palace,Scenic,,,Religious,
POI13,Picasso Art Gallery,Museum,History and Culture,Scenic,,
POI14,Venkateswara Swamy Temple,Religious,Local Experiences,,,
POI15,Sun Temple Hyderabad,Religious,Local Experiences,,,
POI16,Narasimha Swamy Temple,Religious,Local Experiences,,,
POI17,Gonalda,Religious,History and Culture,Local Experiences,,
POI18,Qutub Shahi Tombs,Scenic,,,History and Culture,
POI19,Nehru Zoo Park,Scenic,History and Culture,,,Food and Drinks
POI20,Laad Bazaar,Scenic,Adventure,,,Food and Drinks
POI21,Purani Haveli,Scenic,Adventure,,,Religious
POI22,Toli Masjid,History and Culture,Local Experiences,,Scenic,
POI23,Paigah Tombs,History and Culture,,Local Experiences,,Religious
POI24,NTR Gardens,Scenic,Adventure,,,
POI25,Nizam palaces tour Royal history of Hyderabad,Shows and Concerts,Local Experiences,,Scenic,
POI26,Hyderabad Classic Half Day Tour,Shows and Concerts,,History and Culture,,
POI27,Taj Falaknuma Palace,Scenic,Adventure,,,
POI28,Buddha Temple in Hyderabad,Religious,Local Experiences,,,
POI29,Shyam Temple Hyderabad,Religious,History and Culture,Scenic,,
POI30,Shri Jagannath Temple,Scenic,,,Shopping,Food and Drinks
POI31,Nizam Museum,Museum,,Food and Drinks,History and Culture,
POI32,Wonderla Amusement Park,Adventure,Scenic,,,
POI33,Begum Bazaar,Shopping,Food and Drinks,Scenic,,
POI34,  Nizamia Observatory,Museum,,Local Experiences,,
POI35,Aalankritha Art Gallery,Museum,,Local Experiences,,
POI36,Perfume Market,Local Experiences,Scenic,Food and Drinks,,
POI37,Jalavihar Water Park,Adventure,Scenic,,,Religious
POI38,Biggest Baobab,Scenic,History and Culture,,,
POI39,Mirchi ka Salan,Food and Drinks,Shopping,,,Religious
POI40,Jauzi Halwa ,Food and Drinks,Shopping,,,Religious
POI41,Shahran Market,Shopping,,,,
POI42,Dattatreya Temple,Religious,Scenic,Adventure,,
POI43,Kalakriti Art Gallery,Museum,,Local Experiences,,
POI44,Snow World,Adventure,,,,
POI45,Golconda Fort Sound & Light Show - Hyderabad,Shows and Concerts,Local Experiences,,Scenic,
POI46,Karmanghat Hanuman Temple,Religious,Scenic,,,Adventure
POI47,Escape Water Park,Adventure,Shopping,,,
POI48,Spanish Mosque,History and Culture,Scenic,,,
POI49,Hyderabad Nampally Exhibition,Local Experiences,History and Culture,,Adventure,Scenic
POI50,Taramati Baradari,Scenic,Adventure,,,
POI51,AHMAD LAKE,Scenic,Adventure,,,
POI52,B.M. Birla Planetarium,Museum,,Local Experiences,,
POI53,Sri Gnana Saraswati Temple,Religious,,,,
POI54,The Yacht Club,Adventure,,Scenic,,
POI55,Shri Adinath Jain Temple,Religious,,,,
POI56,Peddamma Gudi Temple,Religious,,,,
POI57,Ashtalakshmi Temple,Religious,Scenic,,,
POI58,Iskon Temple Hyderabad,Religious,,,,Scenic
POI59,Char Minar Bazaar,Scenic,,,Adventure,Religious
POI60,Toli Masjid,Religious,,,,Shopping
POI61,Begum Bazaar,Scenic,,Religious,,
POI62,Keesaragutta Temple,Religious,,,,Scenic
POI63,Birla Science Center,Museum,,,Local Experiences,Religious
POI64,KBR National Park,Scenic,,Shopping,,
POI65,Moazzam Jahi Market,Shopping,Shows and Concerts,,,
POI66,Abids Street,Shopping,,Shows and Concerts,,
POI67,Shilparaman,Scenic,,,Religious,
POI68,Statue of Equality,Local Experiences,,,,
POI69,MIDNIGHT AMUSEMENT PARK,Adventure,,,,
POI70,Jagannath Temple,Religious,,,Shows and Concerts,
POI71,Pot Bazaar,Shopping,Food and Drinks,,,
POI72,Ananthagiri Trekking,Adventure,Scenic,Religious,,
POI73,Wildwoods Adventure Club,Adventure,Scenic,,,Local Experiences
